keyword,bucket,volume_est,KD_est,intent,target_page,cluster,priority
NOTE: No SEMrush/Ahrefs data available. Volume/KD are informed estimates (vibe path). Replace with tool data when available. All framed for an EDUCATION platform - informational intent dominates.,,,,,,,
does creatine help with brain fog,info,900,14,informational,/blog/creatine-not-what-you-think,creatine,1
creatine benefits besides muscle,info,1300,18,informational,/blog/creatine-not-what-you-think,creatine,1
creatine for women over 40,info,2400,22,informational,new post: creatine-for-women,creatine,1
how much creatine per day,info,6600,26,informational,/blog/creatine-not-what-you-think,creatine,2
creatine loading phase necessary,info,1900,20,informational,new post: creatine-for-women,creatine,2
creatine and cognition,info,700,16,informational,/blog/creatine-not-what-you-think,creatine,2
is rebounding good exercise,info,1600,18,informational,/blog/rebounding-benefits,rebounding,1
rebounding benefits,info,3600,24,informational,/blog/rebounding-benefits,rebounding,1
mini trampoline lymphatic drainage,info,2900,22,informational,/blog/rebounding-benefits,rebounding,1
does rebounding help lymphatic system,info,880,14,informational,new post: rebounding-honest,rebounding,1
rebounding for bone density,info,720,16,informational,new post: rebounding-honest,rebounding,2
rebounding vs running,info,1000,18,informational,/blog/rebounding-benefits,rebounding,2
how to read your lab results,info,2400,20,informational,new post: understand-your-lab-numbers,numbers,1
understand your blood work,info,1300,18,informational,new post: understand-your-lab-numbers,numbers,1
what do my metabolic numbers mean,info,320,10,informational,new post: understand-your-lab-numbers,numbers,1
homa-ir calculator,info,2400,12,informational,/tools,tools,1
tdee calculator,info,40000,55,informational,/tools (defer - high KD),tools,3
free metabolic health tools,info,210,8,informational,/tools,tools,1
blood pressure zones explained,info,1900,20,informational,/bp-simulator,tools,1
what is functional medicine education,info,500,20,informational,new post: what-is-roots-framework,brand,2
roots framework functional medicine,info,90,6,informational,new post: what-is-roots-framework,brand,1
do parasite cleanses work,info,3600,26,informational,/protocol/parasite-cleanse,parasites,1
signs of intestinal parasites in humans,info,8100,32,informational,/protocol/parasite-cleanse,parasites,2
how are parasites diagnosed,info,480,12,informational,/protocol/parasite-cleanse,parasites,1
creatine bundle,commercial,90,10,transactional,/shop,shop,2
